"","Overall","Female","Male","p","test"
"n","  841","  491","  350","",""
"Age (mean (SD))","76.24 (6.76)","75.88 (7.19)","76.74 (6.07)"," 0.072",""
"Status (%)","  ","  ","  "," 0.339",""
"   Ctrl","  370 (44.0) ","  220 (44.8) ","  150 (42.9) ","",""
"   MCI","  165 (19.6) ","   88 (17.9) ","   77 (22.0) ","",""
"   ADC","  306 (36.4) ","  183 (37.3) ","  123 (35.1) ","",""
"APOE-e4 (%)","  ","  ","  "," 0.076",""
"   Absent","  456 (60.4) ","  252 (57.0) ","  204 (65.2) ","",""
"   Heterozygote","  245 (32.5) ","  155 (35.1) ","   90 (28.8) ","",""
"   Homozygote","   54 ( 7.2) ","   35 ( 7.9) ","   19 ( 6.1) ","",""
"Total_Cholesterol (mean (SD))"," 5.40 (1.22)"," 5.70 (1.20)"," 4.98 (1.11)","<0.001",""
"LDL (mean (SD))"," 2.05 (0.58)"," 2.14 (0.59)"," 1.91 (0.54)","<0.001",""
"HDL (mean (SD))"," 1.60 (0.38)"," 1.71 (0.38)"," 1.45 (0.34)","<0.001",""
"Total_Triglyceride (mean (SD))"," 1.42 (0.64)"," 1.44 (0.65)"," 1.38 (0.63)"," 0.128",""
"ApoB (mean (SD))"," 0.97 (0.26)"," 1.01 (0.26)"," 0.91 (0.24)","<0.001",""
"MMSE_Score (mean (SD))","25.46 (4.99)","25.27 (5.25)","25.73 (4.59)"," 0.189",""
"Fulltime_Education_Years (mean (SD))"," 9.95 (4.32)"," 9.83 (4.37)","10.13 (4.24)"," 0.334",""
"Marital_Status (%)","  ","  ","  ","<0.001",""
"   Divorced","   31 ( 4.7) ","   20 ( 5.1) ","   11 ( 4.0) ","",""
"   Married","  394 (59.2) ","  167 (42.9) ","  227 (81.9) ","",""
"   Single","   41 ( 6.2) ","   27 ( 6.9) ","   14 ( 5.1) ","",""
"   Widowed","  200 (30.0) ","  175 (45.0) ","   25 ( 9.0) ","",""
